"","Sample_ID","host","site","habitat","position","number","latitude","longitude","elevation","pH","sample_type","SID"
"Fungi_A11_3","Fungi_A11_3","Pinus parviflora","Arayu-Jigoku","Solfatara field",11,3,38.818342,140.727532,605,3.96,"Root","A11"
"Fungi_A12_1","Fungi_A12_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",12,1,38.818415,140.727614,606,3.99,"Root","A12"
"Fungi_A12_2","Fungi_A12_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",12,2,38.818415,140.727614,606,3.99,"Root","A12"
"Fungi_A13_1","Fungi_A13_1","Pinus parviflora","Arayu-Jigoku","Solfatara field",13,1,38.818402,140.727616,606,3.52,"Root","A13"
"Fungi_A14_1","Fungi_A14_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",14,1,38.818371,140.727672,606,3.59,"Root","A14"
"Fungi_A14_2","Fungi_A14_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",14,2,38.818371,140.727672,606,3.59,"Root","A14"
"Fungi_A14_3","Fungi_A14_3","Rhododendron spp.","Arayu-Jigoku","Solfatara field",14,3,38.818371,140.727672,606,3.59,"Root","A14"
"Fungi_A15_1","Fungi_A15_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",15,1,38.818402,140.727835,604,3.28,"Root","A15"
"Fungi_A16_1","Fungi_A16_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",16,1,38.818408,140.728144,604,3.12,"Root","A16"
"Fungi_A17_1","Fungi_A17_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",17,1,38.81858,140.728243,602,3.31,"Root","A17"
"Fungi_A18_1","Fungi_A18_1","Betula ermanii","Arayu-Jigoku","Solfatara field",18,1,38.818504,140.72827,603,3.51,"Root","A18"
"Fungi_A19_1","Fungi_A19_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",19,1,38.838497,140.728337,603,3.42,"Root","A19"
"Fungi_A19_2","Fungi_A19_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",19,2,38.838497,140.728337,603,3.42,"Root","A19"
"Fungi_A19_3","Fungi_A19_3","Pinus parviflora","Arayu-Jigoku","Solfatara field",19,3,38.838497,140.728337,603,3.42,"Root","A19"
"Fungi_A20_1","Fungi_A20_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",20,1,38.81849,140.728386,602,3.12,"Root","A20"
"Fungi_A22_1","Fungi_A22_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",22,1,38.818567,140.728443,599,3.21,"Root","A22"
"Fungi_A23_1","Fungi_A23_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",23,1,38.81869,140.728524,598,3.03,"Root","A23"
"Fungi_A24_1","Fungi_A24_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",24,1,38.818658,140.728505,599,2.97,"Root","A24"
"Fungi_A24_2","Fungi_A24_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",24,2,38.818658,140.728505,599,2.97,"Root","A24"
"Fungi_A25_1","Fungi_A25_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",25,1,38.818761,140.728444,599,2.9,"Root","A25"
"Fungi_A25_2","Fungi_A25_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",25,2,38.818761,140.728444,599,2.9,"Root","A25"
"Fungi_A26_1","Fungi_A26_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",26,1,38.818758,140.728511,599,3.24,"Root","A26"
"Fungi_A27_1","Fungi_A27_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",27,1,38.818709,140.728555,598,2.79,"Root","A27"
"Fungi_A27_2","Fungi_A27_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",27,2,38.818709,140.728555,598,2.79,"Root","A27"
"Fungi_A27_3","Fungi_A27_3","Rhododendron spp.","Arayu-Jigoku","Solfatara field",27,3,38.818709,140.728555,598,2.79,"Root","A27"
"Fungi_A28_1","Fungi_A28_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",28,1,38.818769,140.728646,596,2.43,"Root","A28"
"Fungi_A28_2","Fungi_A28_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",28,2,38.818769,140.728646,596,2.43,"Root","A28"
"Fungi_A28_3","Fungi_A28_3","Rhododendron spp.","Arayu-Jigoku","Solfatara field",28,3,38.818769,140.728646,596,2.43,"Root","A28"
"Fungi_A28_4","Fungi_A28_4","Pinus parviflora","Arayu-Jigoku","Solfatara field",28,4,38.818769,140.728646,596,2.43,"Root","A28"
"Fungi_A29_1","Fungi_A29_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",29,1,38.818733,140.728679,596,3.12,"Root","A29"
"Fungi_A29_2","Fungi_A29_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",29,2,38.818733,140.728679,596,3.12,"Root","A29"
"Fungi_A30_1","Fungi_A30_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",30,1,38.818769,140.728697,595,3.18,"Root","A30"
"Fungi_A30_2","Fungi_A30_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",30,2,38.818769,140.728697,595,3.18,"Root","A30"
"Fungi_A30_3","Fungi_A30_3","Rhododendron spp.","Arayu-Jigoku","Solfatara field",30,3,38.818769,140.728697,595,3.18,"Root","A30"
"Fungi_A31_1","Fungi_A31_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",31,1,38.818798,140.7287,595,2.93,"Root","A31"
"Fungi_A31_2","Fungi_A31_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",31,2,38.818798,140.7287,595,2.93,"Root","A31"
"Fungi_A31_3","Fungi_A31_3","Rhododendron spp.","Arayu-Jigoku","Solfatara field",31,3,38.818798,140.7287,595,2.93,"Root","A31"
"Fungi_A32_1","Fungi_A32_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",32,1,38.818798,140.728836,595,2.84,"Root","A32"
"Fungi_A32_2","Fungi_A32_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",32,2,38.818798,140.728836,595,2.84,"Root","A32"
"Fungi_A33_1","Fungi_A33_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",33,1,38.818811,140.728802,595,2.75,"Root","A33"
"Fungi_A33_2","Fungi_A33_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",33,2,38.818798,140.728836,595,2.75,"Root","A33"
"Fungi_A34_1","Fungi_A34_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",34,1,38.818856,140.728865,592,3.2,"Root","A34"
"Fungi_A34_2","Fungi_A34_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",34,2,38.818856,140.728865,592,3.2,"Root","A34"
"Fungi_A34_3","Fungi_A34_3","Rhododendron spp.","Arayu-Jigoku","Solfatara field",34,3,38.818856,140.728865,592,3.2,"Root","A34"
"Fungi_A35_1","Fungi_A35_1","Betula ermanii","Arayu-Jigoku","Solfatara field",35,1,38.818136,140.726652,605,3.3,"Root","A35"
"Fungi_A36_1","Fungi_A36_1","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",36,1,38.818113,140.726681,605,3.39,"Root","A36"
"Fungi_A36_2","Fungi_A36_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",36,2,38.818113,140.726681,605,3.39,"Root","A36"
"Fungi_A36_3","Fungi_A36_3","Enkianthus campanulatus","Arayu-Jigoku","Solfatara field",36,3,38.818113,140.726681,605,3.39,"Root","A36"
"Fungi_A37_1","Fungi_A37_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",37,1,38.818034,140.726519,608,3.29,"Root","A37"
"Fungi_A37_2","Fungi_A37_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",37,2,38.818034,140.726519,608,3.29,"Root","A37"
"Fungi_B01_1","Fungi_B01_1","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",1,1,38.8187435,140.726338,606,3.66,"Root","B1"
"Fungi_B01_2","Fungi_B01_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",1,2,38.8187435,140.726338,606,3.66,"Root","B1"
"Fungi_B01_3","Fungi_B01_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",1,3,38.8187435,140.726338,606,3.66,"Root","B1"
"Fungi_B02_2","Fungi_B02_2","Eubotryoides grayana","Arayu-Jigoku","Forest edge",2,2,38.817448,140.726413,606,3.71,"Root","B2"
"Fungi_B02_3","Fungi_B02_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",2,3,38.817448,140.726413,606,3.71,"Root","B2"
"Fungi_B03_1","Fungi_B03_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",3,1,38.817491,140.726389,606,3.61,"Root","B3"
"Fungi_B03_2","Fungi_B03_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",3,2,38.817491,140.726389,606,3.61,"Root","B3"
"Fungi_B04_1","Fungi_B04_1","Eubotryoides grayana","Arayu-Jigoku","Forest edge",4,1,38.817528,140.72639,607,3.66,"Root","B4"
"Fungi_B04_5","Fungi_B04_5","Betula ermanii","Arayu-Jigoku","Forest edge",4,5,38.817528,140.72639,607,3.66,"Root","B4"
"Fungi_B05_3","Fungi_B05_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",5,3,38.817564,140.726365,607,3.48,"Root","B5"
"Fungi_B06_1","Fungi_B06_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",6,1,38.8176,140.726323,607,3.28,"Root","B6"
"Fungi_B06_2","Fungi_B06_2","Eubotryoides grayana","Arayu-Jigoku","Forest edge",6,2,38.8176,140.726323,607,3.28,"Root","B6"
"Fungi_B06_3","Fungi_B06_3","Betula ermanii","Arayu-Jigoku","Forest edge",6,3,38.8176,140.726323,607,3.28,"Root","B6"
"Fungi_B06_4","Fungi_B06_4","Betula ermanii","Arayu-Jigoku","Forest edge",6,4,38.8176,140.726323,607,3.28,"Root","B6"
"Fungi_B07_2","Fungi_B07_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",7,2,38.81757,140.72629,607,3.36,"Root","B7"
"Fungi_B08_2","Fungi_B08_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",8,2,38.817696,140.726439,608,3.27,"Root","B8"
"Fungi_B08_3","Fungi_B08_3","Betula ermanii","Arayu-Jigoku","Forest edge",8,3,38.817696,140.726439,608,3.27,"Root","B8"
"Fungi_B09_1","Fungi_B09_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",9,1,38.817725,140.726424,608,3.35,"Root","B9"
"Fungi_B10_2","Fungi_B10_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",10,2,38.817794,140.726367,610,3.18,"Root","B10"
"Fungi_B11_3","Fungi_B11_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",11,3,38.817803,140.726397,610,3,"Root","B11"
"Fungi_B12_1","Fungi_B12_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",12,1,38.81787,140.72639,610,2.96,"Root","B12"
"Fungi_B13_2","Fungi_B13_2","Vaccinium smallii","Arayu-Jigoku","Forest edge",13,2,38.817897,140.72664,610,2.88,"Root","B13"
"Fungi_B14_1","Fungi_B14_1","Vaccinium smallii","Arayu-Jigoku","Forest edge",14,1,38.817915,140.726673,610,2.65,"Root","B14"
"Fungi_B14_2","Fungi_B14_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",14,2,38.817915,140.726673,610,2.65,"Root","B14"
"Fungi_B14_5","Fungi_B14_5","Rhododendron spp.","Arayu-Jigoku","Forest edge",14,5,38.817915,140.726673,610,2.65,"Root","B14"
"Fungi_B15_2","Fungi_B15_2","Pinus parviflora","Arayu-Jigoku","Forest edge",15,2,38.818026,140.726657,610,2.56,"Root","B15"
"Fungi_B15_3","Fungi_B15_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",15,3,38.818026,140.726657,610,2.56,"Root","B15"
"Fungi_B15_4","Fungi_B15_4","Vaccinium smallii","Arayu-Jigoku","Forest edge",15,4,38.818026,140.726657,610,2.56,"Root","B15"
"Fungi_B16_1","Fungi_B16_1","Pinus parviflora","Arayu-Jigoku","Forest edge",16,1,38.818083,140.726697,608,2.8,"Root","B16"
"Fungi_B16_2","Fungi_B16_2","Vaccinium smallii","Arayu-Jigoku","Forest edge",16,2,38.818083,140.726697,608,2.8,"Root","B16"
"Fungi_B17_1","Fungi_B17_1","Vaccinium smallii","Arayu-Jigoku","Forest edge",17,1,38.81812,140.726737,608,2.69,"Root","B17"
"Fungi_B18_1","Fungi_B18_1","Vaccinium smallii","Arayu-Jigoku","Forest edge",18,1,38.818179,140.726765,606,2.61,"Root","B18"
"Fungi_B18_4","Fungi_B18_4","Rhododendron spp.","Arayu-Jigoku","Forest edge",18,4,38.818179,140.726765,606,2.61,"Root","B18"
"Fungi_B19_1","Fungi_B19_1","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",19,1,38.818169,140.726796,607,2.65,"Root","B19"
"Fungi_B19_3","Fungi_B19_3","Pinus parviflora","Arayu-Jigoku","Forest edge",19,3,38.818169,140.726796,607,2.65,"Root","B19"
"Fungi_B19_4","Fungi_B19_4","Rhododendron spp.","Arayu-Jigoku","Forest edge",19,4,38.818169,140.726796,607,2.65,"Root","B19"
"Fungi_B20_3","Fungi_B20_3","Pinus parviflora","Arayu-Jigoku","Forest edge",20,3,38.818224,140.726876,607,2.56,"Root","B20"
"Fungi_B21_3","Fungi_B21_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",21,3,38.818221,140.727036,607,2.74,"Root","B21"
"Fungi_B21_4","Fungi_B21_4","Rhododendron spp.","Arayu-Jigoku","Forest edge",21,4,38.818221,140.727036,607,2.74,"Root","B21"
"Fungi_B22_1","Fungi_B22_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",22,1,38.81827,140.727116,605,3.42,"Root","B22"
"Fungi_B22_2","Fungi_B22_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",22,2,38.81827,140.727116,605,3.42,"Root","B22"
"Fungi_B23_3","Fungi_B23_3","Betula ermanii","Arayu-Jigoku","Forest edge",23,3,38.81828,140.727205,605,3.18,"Root","B23"
"Fungi_B23_4","Fungi_B23_4","Betula ermanii","Arayu-Jigoku","Forest edge",23,4,38.81828,140.727205,605,3.18,"Root","B23"
"Fungi_B24_3","Fungi_B24_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",24,3,38.818316,140.727294,605,3,"Root","B24"
"Fungi_B25_1","Fungi_B25_1","Eubotryoides grayana","Arayu-Jigoku","Forest edge",25,1,38.818295,140.727422,606,3.2,"Root","B25"
"Fungi_B26_1","Fungi_B26_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",26,2,38.818294,140.72749,607,3.31,"Root","B26"
"Fungi_B26_2","Fungi_B26_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",26,3,38.818294,140.72749,607,3.31,"Root","B26"
"Fungi_B27_1","Fungi_B27_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",27,1,38.818352,140.727618,605,3.31,"Root","B27"
"Fungi_B27_3","Fungi_B27_3","Betula ermanii","Arayu-Jigoku","Forest edge",27,3,38.818352,140.727618,605,3.31,"Root","B27"
"Fungi_B28_1","Fungi_B28_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",28,2,38.818361,140.727735,606,2.98,"Root","B28"
"Fungi_B28_2","Fungi_B28_2","Eubotryoides grayana","Arayu-Jigoku","Forest edge",28,1,38.818361,140.727735,606,2.98,"Root","B28"
"Fungi_B28_4","Fungi_B28_4","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",28,4,38.818361,140.727735,606,2.98,"Root","B28"
"Fungi_B29_2","Fungi_B29_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",29,2,38.818376,140.72809,607,3.24,"Root","B29"
"Fungi_B29_3","Fungi_B29_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",29,3,38.818376,140.72809,607,3.24,"Root","B29"
"Fungi_B30_1","Fungi_B30_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",30,1,38.818434,140.72826,604,2.95,"Root","B30"
"Fungi_B30_4","Fungi_B30_4","Rhododendron spp.","Arayu-Jigoku","Forest edge",30,4,38.818434,140.72826,604,2.95,"Root","B30"
"Fungi_B31_2","Fungi_B31_2","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",31,2,38.818438,140.728475,603,2.45,"Root","B31"
"Fungi_B32_2","Fungi_B32_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",32,2,38.818483,140.728502,602,2.54,"Root","B32"
"Fungi_B33_2","Fungi_B33_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",33,2,38.818536,140.728462,599,2.61,"Root","B33"
"Fungi_B33_3","Fungi_B33_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",33,3,38.818536,140.728462,599,2.61,"Root","B33"
"Fungi_B34_2","Fungi_B34_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",34,2,38.818639,140.728519,598,2.63,"Root","B34"
"Fungi_B35_2","Fungi_B35_2","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",35,2,38.818835,140.728595,599,2.04,"Root","B35"
"Fungi_B35_3","Fungi_B35_3","Pinus parviflora","Arayu-Jigoku","Forest edge",35,3,38.818835,140.728595,599,2.04,"Root","B35"
"Fungi_B35_4","Fungi_B35_4","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",35,4,38.818835,140.728595,599,2.04,"Root","B35"
"Fungi_B36_2","Fungi_B36_2","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",36,2,38.818808,140.728656,596,2.49,"Root","B36"
"Fungi_B36_3","Fungi_B36_3","Rhododendron spp.","Arayu-Jigoku","Forest edge",36,3,38.818808,140.728656,596,2.49,"Root","B36"
"Fungi_B37_2","Fungi_B37_2","Rhododendron spp.","Arayu-Jigoku","Forest edge",37,2,38.818828,140.728705,595,2.07,"Root","B37"
"Fungi_B37_4","Fungi_B37_4","Eubotryoides grayana","Arayu-Jigoku","Forest edge",37,4,38.818828,140.728705,595,2.07,"Root","B37"
"Fungi_B38_3","Fungi_B38_3","Pinus parviflora","Arayu-Jigoku","Forest edge",38,3,38.818799,140.728768,595,2.61,"Root","B38"
"Fungi_B38_4","Fungi_B38_4","Rhododendron spp.","Arayu-Jigoku","Forest edge",38,4,38.818799,140.728768,595,2.61,"Root","B38"
"Fungi_B39_1","Fungi_B39_1","Rhododendron spp.","Arayu-Jigoku","Forest edge",39,1,38.818895,140.728855,592,2.49,"Root","B39"
"Fungi_B39_4","Fungi_B39_4","Enkianthus campanulatus","Arayu-Jigoku","Forest edge",39,4,38.818895,140.728855,592,2.49,"Root","B39"
"Fungi_B40_2","Fungi_B40_2","Eubotryoides grayana","Arayu-Jigoku","Forest edge",40,2,38.818815,140.72892,592,2.23,"Root","B40"
"Fungi_B40_3","Fungi_B40_3","Eubotryoides grayana","Arayu-Jigoku","Forest edge",40,3,38.818815,140.72892,592,2.23,"Root","B40"
"Fungi_JA1_1","Fungi_JA1_1","Eubotryoides grayana","Ofukasawa","Solfatara field",1,1,38.811815,140.713531,528,3.16,"Root","JA1"
"Fungi_JA1_2","Fungi_JA1_2","Eubotryoides grayana","Ofukasawa","Solfatara field",1,2,38.811815,140.713531,528,3.16,"Root","JA1"
"Fungi_JA1_3","Fungi_JA1_3","Pinus parviflora","Ofukasawa","Solfatara field",1,3,38.811815,140.713531,528,3.16,"Root","JA1"
"Fungi_JA10_1","Fungi_JA10_1","Rhododendron spp.","Ofukasawa","Solfatara field",10,1,38.811145,140.712869,526,3.12,"Root","JA10"
"Fungi_JA10_2","Fungi_JA10_2","Rhododendron spp.","Ofukasawa","Solfatara field",10,2,38.811145,140.712869,526,3.12,"Root","JA10"
"Fungi_JA11_1","Fungi_JA11_1","Eubotryoides grayana","Ofukasawa","Solfatara field",11,1,38.811121,140.712915,526,3.11,"Root","JA11"
"Fungi_JA11_2","Fungi_JA11_2","Eubotryoides grayana","Ofukasawa","Solfatara field",11,2,38.811121,140.712915,526,3.11,"Root","JA11"
"Fungi_JA12_2","Fungi_JA12_2","Eubotryoides grayana","Ofukasawa","Solfatara field",12,2,38.811169,140.712923,527,4.24,"Root","JA12"
"Fungi_JA13_1","Fungi_JA13_1","Rhododendron spp.","Ofukasawa","Solfatara field",13,1,38.811224,140.712953,528,3.22,"Root","JA13"
"Fungi_JA13_2","Fungi_JA13_2","Rhododendron spp.","Ofukasawa","Solfatara field",13,2,38.811224,140.712953,528,3.22,"Root","JA13"
"Fungi_JA15_1","Fungi_JA15_1","Eubotryoides grayana","Ofukasawa","Solfatara field",15,1,38.811245,140.713017,527,3.46,"Root","JA15"
"Fungi_JA15_2","Fungi_JA15_2","Eubotryoides grayana","Ofukasawa","Solfatara field",15,2,38.811245,140.713017,527,3.46,"Root","JA15"
"Fungi_JA2_1","Fungi_JA2_1","Rhododendron spp.","Ofukasawa","Solfatara field",2,1,38.811778,140.713465,529,2.88,"Root","JA2"
"Fungi_JA2_2","Fungi_JA2_2","Rhododendron spp.","Ofukasawa","Solfatara field",2,2,38.811778,140.713465,529,2.88,"Root","JA2"
"Fungi_JA3_1","Fungi_JA3_1","Eubotryoides grayana","Ofukasawa","Solfatara field",3,1,38.81176,140.713371,530,3.07,"Root","JA3"
"Fungi_JA3_2","Fungi_JA3_2","Rhododendron spp.","Ofukasawa","Solfatara field",3,2,38.81176,140.713371,530,3.07,"Root","JA3"
"Fungi_JA3_3","Fungi_JA3_3","Pinus parviflora","Ofukasawa","Solfatara field",3,3,38.81176,140.713371,530,3.07,"Root","JA3"
"Fungi_JA4_1","Fungi_JA4_1","Eubotryoides grayana","Ofukasawa","Solfatara field",4,1,38.811671,140.713383,529,2.86,"Root","JA4"
"Fungi_JA4_2","Fungi_JA4_2","Eubotryoides grayana","Ofukasawa","Solfatara field",4,2,38.811671,140.713383,529,2.86,"Root","JA4"
"Fungi_JA4_3","Fungi_JA4_3","Eubotryoides grayana","Ofukasawa","Solfatara field",4,3,38.811671,140.713383,529,2.86,"Root","JA4"
"Fungi_JA4_4","Fungi_JA4_4","Pinus parviflora","Ofukasawa","Solfatara field",4,4,38.811671,140.713383,529,2.86,"Root","JA4"
"Fungi_JA5_1","Fungi_JA5_1","Rhododendron spp.","Ofukasawa","Solfatara field",5,1,38.811579,140.713344,528,3.49,"Root","JA5"
"Fungi_JA5_2","Fungi_JA5_2","Rhododendron spp.","Ofukasawa","Solfatara field",5,2,38.811579,140.713344,528,3.49,"Root","JA5"
"Fungi_JA6_2","Fungi_JA6_2","Vaccinium smallii","Ofukasawa","Solfatara field",6,2,38.811523,140.713291,528,2.91,"Root","JA6"
"Fungi_JA7_1","Fungi_JA7_1","Rhododendron spp.","Ofukasawa","Solfatara field",7,1,38.811427,140.713116,529,2.96,"Root","JA7"
"Fungi_JA8_1","Fungi_JA8_1","Eubotryoides grayana","Ofukasawa","Solfatara field",8,1,38.811137,140.712504,528,3.52,"Root","JA8"
"Fungi_JA9_1","Fungi_JA9_1","Eubotryoides grayana","Ofukasawa","Solfatara field",9,1,38.81108,140.712355,527,2.79,"Root","JA9"
"Fungi_JA9_2","Fungi_JA9_2","Eubotryoides grayana","Ofukasawa","Solfatara field",9,2,38.81108,140.712355,527,2.79,"Root","JA9"
"Fungi_JA9_3","Fungi_JA9_3","Eubotryoides grayana","Ofukasawa","Solfatara field",9,3,38.81108,140.712355,527,2.79,"Root","JA9"
"Fungi_JB1_1","Fungi_JB1_1","Pinus parviflora","Ofukasawa","Forest edge",1,1,38.811858,140.713577,529,2.57,"Root","JB1"
"Fungi_JB1_2","Fungi_JB1_2","Vaccinium smallii","Ofukasawa","Forest edge",1,2,38.811858,140.713577,529,2.57,"Root","JB1"
"Fungi_JB1_3","Fungi_JB1_3","Vaccinium smallii","Ofukasawa","Forest edge",1,3,38.811858,140.713577,529,2.57,"Root","JB1"
"Fungi_JB10_1","Fungi_JB10_1","Vaccinium smallii","Ofukasawa","Forest edge",10,1,38.811367,140.71282,531,2.88,"Root","JB10"
"Fungi_JB10_2","Fungi_JB10_2","Pinus parviflora","Ofukasawa","Forest edge",10,2,38.811367,140.71282,531,2.88,"Root","JB10"
"Fungi_JB10_3","Fungi_JB10_3","Rhododendron spp.","Ofukasawa","Forest edge",10,3,38.811367,140.71282,531,2.88,"Root","JB10"
"Fungi_JB10_4","Fungi_JB10_4","Vaccinium smallii","Ofukasawa","Forest edge",10,4,38.811367,140.71282,531,2.88,"Root","JB10"
"Fungi_JB11_1","Fungi_JB11_1","Vaccinium smallii","Ofukasawa","Forest edge",11,1,38.811329,140.712776,532,2.65,"Root","JB11"
